iter	Passed	Remaining
0	133	133799
1	136	67875
2	138	45894
3	140	34938
4	142	28347
5	144	23948
6	146	20816
7	148	18457
8	151	16628
9	153	15160
10	155	13961
11	157	12965
12	159	12115
13	161	11402
14	164	10779
15	166	10238
16	168	9768
17	171	9344
18	173	8964
19	175	8616
20	178	8312
21	180	8038
22	183	7786
23	185	7550
24	187	7328
25	190	7124
26	192	6942
27	194	6768
28	197	6604
29	199	6448
30	201	6300
31	203	6166
32	206	6039
33	208	5919
34	210	5808
35	212	5701
36	215	5599
37	217	5501
38	219	5407
39	221	5322
40	224	5239
41	226	5159
42	228	5082
43	230	5011
44	232	4942
45	235	4874
46	237	4812
47	239	4751
48	241	4693
49	244	4639
50	246	4588
51	248	4536
52	251	4487
53	253	4439
54	255	4392
55	257	4345
56	259	4301
57	262	4259
58	264	4217
59	266	4180
60	269	4143
61	271	4108
62	273	4073
63	276	4038
64	278	4004
65	280	3974
66	283	3945
67	285	3913
68	287	3882
69	289	3852
70	292	3823
71	294	3795
72	296	3766
73	298	3740
74	301	3714
75	303	3688
76	305	3663
77	308	3640
78	310	3616
79	312	3593
80	314	3570
81	316	3548
82	319	3526
83	321	3505
84	323	3484
85	326	3465
86	328	3444
87	330	3426
88	332	3407
89	335	3388
90	337	3370
91	339	3352
92	342	3336
93	344	3321
94	346	3305
95	349	3292
96	352	3279
97	354	3265
98	358	3258
99	360	3248
100	363	3233
101	365	3219
102	368	3205
103	370	3190
104	372	3177
105	375	3165
106	377	3152
107	380	3138
108	382	3124
109	384	3111
110	386	3098
111	389	3085
112	391	3071
113	393	3058
114	395	3045
115	397	3032
116	400	3020
117	402	3009
118	404	2997
119	407	2985
120	409	2973
121	411	2961
122	413	2951
123	416	2940
124	418	2929
125	420	2918
126	422	2907
127	425	2896
128	427	2886
129	429	2875
130	432	2866
131	434	2855
132	436	2846
133	438	2835
134	440	2825
135	443	2815
136	445	2805
137	447	2798
138	450	2790
139	452	2780
140	455	2772
